"sex","age","race","education","state","division","region","ideology","party.id","vote.2008","obama","romney","other","state.last.vote.share"
"male","18-29","hispanic","high school graduate","FL","SA","S","conservative","republican","other",0,1,0,0.5142
"male","18-29","white","high school graduate","AL","ESC","S","conservative","independent/other","did not vote in 2008",0,10,0,0.3911
"male","45-64","white","some college","TX","WSC","S","conservative","independent/other","republican",0,13,0,0.4406
"male","18-29","white","less than high school","MA","NE","NE","liberal","democrat","did not vote in 2008",4,0,0,0.632
"male","30-44","white","college graduate","OK","WSC","S","conservative","republican","republican",0,12,0,0.3435
"male","18-29","white","some college","TN","ESC","S","moderate","democrat","did not vote in 2008",5,2,0,0.4237
"male","30-44","white","some college","FL","SA","S","conservative","republican","republican",1,76,0,0.5142
"male","18-29","white","some college","TX","WSC","S","conservative","independent/other","republican",0,27,0,0.4406
"male","18-29","black","some college","LA","WSC","S","liberal","democrat","democrat",7,0,0,0.4054
"male","18-29","white","less than high school","WI","ENC","MW","conservative","republican","did not vote in 2008",0,18,0,0.5706
"male","18-29","white","college graduate","UT","M","W","conservative","republican","republican",0,30,0,0.3547
"female","18-29","white","high school graduate","CA","P","W","conservative","republican","republican",0,5,0,0.6228
"male","30-44","other","some college","NM","M","W","liberal","democrat","democrat",3,0,0,0.5766
"male","30-44","white","some college","OK","WSC","S","conservative","independent/other","democrat",0,4,0,0.3435
"male","18-29","other","less than high school","CA","P","W","conservative","independent/other","other",0,4,0,0.6228
"male","30-44","white","some college","NC","SA","S","conservative","republican","republican",0,80,0,0.5017
"male","18-29","white","college graduate","TX","WSC","S","moderate","democrat","democrat",16,2,0,0.4406
"male","18-29","white","some college","AZ","M","W","conservative","republican","republican",0,40,0,0.4569
"male","30-44","white","high school graduate","FL","SA","S","liberal","democrat","democrat",12,0,1,0.5142
"male","18-29","hispanic","some college","NY","MA","NE","liberal","democrat","democrat",14,0,0,0.6358
"male","30-44","white","college graduate","DE","MA","S","conservative","republican","republican",0,4,0,0.6264
"female","45-64","white","some college","OR","P","W","liberal","democrat","democrat",6,0,0,0.5841
"male","18-29","white","less than high school","TN","ESC","S","liberal","democrat","republican",1,0,0,0.4237
"male","18-29","white","less than high school","CA","P","W","conservative","republican","republican",0,24,0,0.6228
"male","18-29","white","high school graduate","NH","NE","NE","conservative","republican","did not vote in 2008",0,7,0,0.5487
"male","30-44","white","some college","VA","SA","S","conservative","republican","republican",0,43,1,0.5318
"male","18-29","white","some college","FL","SA","S","conservative","republican","did not vote in 2008",0,67,0,0.5142
"male","30-44","white","high school graduate","IL","ENC","MW","liberal","democrat","democrat",3,0,0,0.6273
"male","18-29","white","some college","OH","ENC","MW","moderate","republican","republican",0,11,0,0.5233
"male","18-29","white","high school graduate","PA","MA","NE","conservative","independent/other","republican",0,11,0,0.5523
"male","45-64","white","college graduate","MO","WNC","MW","moderate","republican","republican",0,5,0,0.4993
"male","18-29","white","less than high school","MI","ENC","MW","conservative","republican","republican",0,14,0,0.5837
"male","18-29","white","some college","AZ","M","W","conservative","republican","did not vote in 2008",0,14,0,0.4569
"male","18-29","white","some college","NE","WNC","MW","moderate","independent/other","democrat",3,10,1,0.4239
"male","30-44","white","some college","PA","MA","NE","conservative","republican","republican",0,44,0,0.5523
"male","18-29","white","high school graduate","FL","SA","S","conservative","republican","did not vote in 2008",0,64,0,0.5142
"female","45-64","white","high school graduate","AZ","M","W","moderate","independent/other","democrat",1,0,0,0.4569
"male","18-29","white","college graduate","FL","SA","S","moderate","independent/other","did not vote in 2008",6,11,4,0.5142
"male","45-64","white","some college","WI","ENC","MW","conservative","republican","republican",0,12,0,0.5706
"male","18-29","white","less than high school","NE","WNC","MW","liberal","democrat","democrat",4,0,0,0.4239
"male","30-44","white","some college","NJ","MA","NE","conservative","republican","republican",0,7,0,0.5786
"male","30-44","white","some college","MO","WNC","MW","moderate","republican","republican",0,8,0,0.4993
"male","18-29","white","college graduate","WA","P","W","conservative","republican","republican",1,36,0,0.5875
"male","30-44","white","some college","TX","WSC","S","conservative","independent/other","did not vote in 2008",2,13,1,0.4406
"male","18-29","white","high school graduate","OR","P","W","conservative","independent/other","did not vote in 2008",2,3,1,0.5841
"male","18-29","white","less than high school","NC","SA","S","conservative","republican","did not vote in 2008",1,15,0,0.5017
"male","18-29","white","high school graduate","WA","P","W","moderate","independent/other","did not vote in 2008",19,9,6,0.5875
"male","18-29","white","less than high school","MI","ENC","MW","conservative","independent/other","other",0,0,4,0.5837
"male","18-29","white","high school graduate","MD","MA","S","conservative","republican","did not vote in 2008",0,28,0,0.6293
"male","45-64","white","college graduate","CO","M","W","liberal","democrat","democrat",7,0,0,0.5455
"male","18-29","hispanic","college graduate","TX","WSC","S","conservative","republican","republican",0,12,1,0.4406
"male","18-29","white","less than high school","GA","SA","S","moderate","independent/other","republican",0,4,0,0.4737
"male","45-64","white","some college","IL","ENC","MW","conservative","republican","republican",0,16,0,0.6273
"male","30-44","white","some college","CA","P","W","conservative","independent/other","republican",0,32,0,0.6228
"male","30-44","white","less than high school","ME","NE","NE","conservative","republican","republican",0,4,0,0.5883
"male","18-29","white","less than high school","PA","MA","NE","conservative","republican","republican",0,45,1,0.5523
"male","18-29","white","some college","PA","MA","NE","liberal","democrat","democrat",35,0,0,0.5523
"male","18-29","white","less than high school","UT","M","W","conservative","republican","republican",0,1,0,0.3547
"male","18-29","white","high school graduate","MO","WNC","MW","moderate","democrat","did not vote in 2008",9,0,0,0.4993
"male","18-29","white","high school graduate","NV","M","W","liberal","democrat","democrat",8,0,1,0.5639
"male","18-29","white","college graduate","TN","ESC","S","conservative","republican","did not vote in 2008",0,17,0,0.4237
"male","18-29","white","some college","MI","ENC","MW","conservative","republican","republican",1,40,0,0.5837
"male","18-29","other","college graduate","OK","WSC","S","conservative","republican","republican",0,5,0,0.3435
"male","18-29","white","some college","IN","ENC","MW","conservative","republican","republican",0,42,0,0.5052
"male","18-29","white","less than high school","FL","SA","S","conservative","independent/other","other",0,3,0,0.5142
"female","30-44","white","high school graduate","AZ","M","W","conservative","republican","did not vote in 2008",0,2,0,0.4569
"female","18-29","white","some college","AL","ESC","S","moderate","republican","republican",0,4,0,0.3911
"male","30-44","white","college graduate","IA","WNC","MW","conservative","republican","republican",0,12,0,0.5485
"male","18-29","white","high school graduate","FL","SA","S","moderate","independent/other","republican",0,9,0,0.5142
"male","30-44","white","high school graduate","MN","WNC","MW","moderate","democrat","democrat",2,0,0,0.5523
"male","18-29","white","some college","FL","SA","S","conservative","independent/other","did not vote in 2008",2,10,4,0.5142
"male","45-64","white","some college","WA","P","W","conservative","republican","republican",0,18,1,0.5875
"male","18-29","white","some college","PA","MA","NE","conservative","independent/other","did not vote in 2008",1,17,1,0.5523
"male","18-29","other","high school graduate","OR","P","W","liberal","democrat","democrat",3,0,0,0.5841
"male","18-29","white","some college","IL","ENC","MW","moderate","democrat","democrat",12,0,1,0.6273
"male","18-29","white","college graduate","NC","SA","S","liberal","democrat","democrat",31,1,0,0.5017
"male","30-44","black","college graduate","CA","P","W","conservative","independent/other","democrat",0,2,0,0.6228
"male","18-29","black","less than high school","MA","NE","NE","moderate","democrat","democrat",2,0,0,0.632
"male","30-44","white","some college","NC","SA","S","moderate","republican","republican",0,11,0,0.5017
"male","30-44","white","high school graduate","AR","WSC","S","conservative","republican","republican",0,9,0,0.3983
"male","18-29","white","less than high school","TN","ESC","S","conservative","republican","republican",0,9,0,0.4237
"male","18-29","white","college graduate","TN","ESC","S","conservative","independent/other","republican",0,10,0,0.4237
"female","18-29","white","high school graduate","CA","P","W","liberal","democrat","democrat",1,0,0,0.6228
"male","45-64","white","college graduate","WA","P","W","conservative","republican","republican",0,17,0,0.5875
"male","18-29","white","college graduate","WA","P","W","moderate","republican","republican",0,8,0,0.5875
"male","18-29","white","high school graduate","CO","M","W","conservative","republican","did not vote in 2008",0,22,0,0.5455
"male","18-29","black","college graduate","IL","ENC","MW","liberal","independent/other","did not vote in 2008",0,1,0,0.6273
"male","30-44","white","college graduate","VA","SA","S","conservative","republican","republican",0,55,0,0.5318
"male","18-29","white","high school graduate","AR","WSC","S","liberal","democrat","did not vote in 2008",5,0,0,0.3983
"male","30-44","white","high school graduate","NM","M","W","conservative","republican","republican",0,4,0,0.5766
"male","18-29","white","less than high school","FL","SA","S","conservative","independent/other","did not vote in 2008",0,5,3,0.5142
"male","18-29","white","college graduate","MN","WNC","MW","conservative","republican","did not vote in 2008",0,13,0,0.5523
"male","30-44","other","some college","CA","P","W","conservative","republican","republican",0,10,0,0.6228
"male","18-29","white","high school graduate","OH","ENC","MW","liberal","democrat","democrat",46,0,1,0.5233
"male","18-29","white","high school graduate","GA","SA","S","conservative","independent/other","did not vote in 2008",0,9,0,0.4737
"male","30-44","hispanic","some college","FL","SA","S","liberal","democrat","democrat",18,0,0,0.5142
"male","18-29","hispanic","less than high school","NY","MA","NE","moderate","independent/other","democrat",1,2,1,0.6358
"female","18-29","white","some college","OH","ENC","MW","liberal","democrat","democrat",19,0,0,0.5233
"male","30-44","white","high school graduate","SC","SA","S","moderate","independent/other","republican",0,5,0,0.4546
"male","18-29","hispanic","high school graduate","NJ","MA","NE","liberal","democrat","democrat",7,0,0,0.5786
"male","30-44","white","some college","NC","SA","S","moderate","democrat","democrat",13,0,1,0.5017
"male","30-44","white","some college","MN","WNC","MW","conservative","republican","republican",0,29,0,0.5523
"male","18-29","white","some college","CA","P","W","conservative","republican","republican",2,104,0,0.6228
"male","18-29","hispanic","high school graduate","TX","WSC","S","liberal","democrat","democrat",14,0,0,0.4406
"male","30-44","white","college graduate","WA","P","W","moderate","independent/other","republican",3,11,0,0.5875
"male","30-44","black","college graduate","GA","SA","S","moderate","democrat","did not vote in 2008",1,0,0,0.4737
"male","18-29","white","college graduate","MN","WNC","MW","conservative","republican","republican",1,30,0,0.5523
"female","18-29","other","less than high school","NY","MA","NE","moderate","democrat","democrat",4,0,0,0.6358
"male","18-29","white","high school graduate","TN","ESC","S","conservative","republican","did not vote in 2008",0,34,0,0.4237
"male","30-44","white","college graduate","WA","P","W","conservative","republican","did not vote in 2008",0,10,3,0.5875
"male","18-29","white","some college","PA","MA","NE","liberal","democrat","did not vote in 2008",11,0,1,0.5523
"male","45-64","white","some college","TX","WSC","S","conservative","independent/other","did not vote in 2008",3,2,0,0.4406
"male","18-29","other","less than high school","MN","WNC","MW","conservative","republican","did not vote in 2008",0,1,0,0.5523
"male","45-64","white","some college","CA","P","W","conservative","independent/other","republican",0,8,0,0.6228
"male","18-29","white","high school graduate","LA","WSC","S","conservative","republican","republican",0,6,0,0.4054
"male","18-29","white","college graduate","CA","P","W","conservative","republican","republican",0,74,0,0.6228
"male","30-44","white","high school graduate","OH","ENC","MW","conservative","republican","republican",0,26,0,0.5233
"male","18-29","other","college graduate","TX","WSC","S","conservative","republican","republican",0,5,0,0.4406
"female","18-29","white","high school graduate","FL","SA","S","conservative","independent/other","did not vote in 2008",0,3,0,0.5142
"male","18-29","white","high school graduate","OH","ENC","MW","moderate","republican","did not vote in 2008",2,21,1,0.5233
"male","18-29","white","some college","IL","ENC","MW","moderate","independent/other","other",0,3,2,0.6273
"male","18-29","white","high school graduate","NC","SA","S","conservative","independent/other","did not vote in 2008",0,9,1,0.5017
"male","18-29","white","some college","NY","MA","NE","liberal","democrat","democrat",30,0,0,0.6358
"male","18-29","white","high school graduate","MT","M","W","conservative","independent/other","democrat",0,1,0,0.4877
"male","45-64","white","college graduate","MA","NE","NE","liberal","democrat","democrat",5,0,0,0.632
"male","30-44","white","college graduate","SD","WNC","MW","moderate","independent/other","democrat",2,0,0,0.457
"male","30-44","white","high school graduate","MN","WNC","MW","conservative","independent/other","did not vote in 2008",0,3,0,0.5523
"male","30-44","white","high school graduate","VA","SA","S","conservative","republican","republican",0,13,0,0.5318
"male","18-29","white","some college","TX","WSC","S","conservative","republican","republican",0,104,2,0.4406
"male","30-44","white","high school graduate","GA","SA","S","moderate","independent/other","democrat",1,0,0,0.4737
"male","18-29","white","high school graduate","MS","ESC","S","conservative","independent/other","did not vote in 2008",0,3,1,0.4336
"female","18-29","black","high school graduate","NV","M","W","conservative","republican","democrat",1,0,0,0.5639
"male","30-44","white","college graduate","CA","P","W","moderate","independent/other","republican",4,9,5,0.6228
"male","18-29","white","some college","WV","SA","S","conservative","republican","republican",0,13,1,0.4333
"male","18-29","white","high school graduate","WI","ENC","MW","liberal","democrat","democrat",14,0,0,0.5706
"male","18-29","white","some college","SD","WNC","MW","moderate","independent/other","republican",0,1,1,0.457
"male","18-29","white","college graduate","IL","ENC","MW","conservative","republican","republican",0,42,0,0.6273
"male","18-29","white","some college","OR","P","W","liberal","independent/other","democrat",7,0,0,0.5841
"male","18-29","black","college graduate","NC","SA","S","moderate","democrat","democrat",8,0,0,0.5017
"male","45-64","white","some college","IL","ENC","MW","moderate","democrat","democrat",4,3,0,0.6273
"male","18-29","white","high school graduate","TX","WSC","S","moderate","democrat","did not vote in 2008",6,0,0,0.4406
"male","18-29","white","college graduate","WA","P","W","moderate","democrat","democrat",13,0,5,0.5875
"male","30-44","white","high school graduate","TX","WSC","S","liberal","independent/other","democrat",8,0,0,0.4406
"male","18-29","white","high school graduate","MT","M","W","liberal","democrat","democrat",3,0,0,0.4877
"male","18-29","white","college graduate","OH","ENC","MW","conservative","republican","republican",0,61,1,0.5233
"male","30-44","other","some college","OH","ENC","MW","conservative","republican","republican",0,4,0,0.5233
"male","18-29","white","some college","RI","NE","NE","moderate","independent/other","did not vote in 2008",2,5,0,0.642
"male","30-44","white","college graduate","IN","ENC","MW","conservative","independent/other","republican",0,13,0,0.5052
"male","18-29","white","high school graduate","IN","ENC","MW","conservative","republican","did not vote in 2008",1,32,1,0.5052
"male","18-29","white","college graduate","MS","ESC","S","conservative","republican","republican",0,9,0,0.4336
"male","30-44","other","some college","NJ","MA","NE","moderate","independent/other","did not vote in 2008",1,0,0,0.5786
"male","18-29","hispanic","high school graduate","AZ","M","W","moderate","independent/other","democrat",3,0,0,0.4569
"male","18-29","white","some college","TN","ESC","S","moderate","independent/other","did not vote in 2008",8,9,6,0.4237
"male","18-29","white","high school graduate","IL","ENC","MW","conservative","republican","republican",0,24,0,0.6273
"male","18-29","white","some college","SC","SA","S","conservative","independent/other","republican",0,6,0,0.4546
"male","18-29","black","some college","IL","ENC","MW","moderate","democrat","democrat",13,0,0,0.6273
"male","18-29","white","high school graduate","UT","M","W","conservative","republican","republican",0,18,0,0.3547
"male","18-29","other","high school graduate","WA","P","W","liberal","democrat","did not vote in 2008",7,0,0,0.5875
"male","45-64","white","some college","NJ","MA","NE","moderate","democrat","democrat",1,0,0,0.5786
"female","18-29","white","some college","WA","P","W","liberal","democrat","did not vote in 2008",7,0,0,0.5875
"male","18-29","white","some college","UT","M","W","moderate","republican","did not vote in 2008",0,12,0,0.3547
"male","18-29","white","less than high school","PA","MA","NE","conservative","republican","other",1,0,0,0.5523
"male","18-29","white","high school graduate","PA","MA","NE","moderate","independent/other","democrat",9,6,1,0.5523
"male","30-44","white","some college","NV","M","W","conservative","republican","republican",0,18,0,0.5639
"male","45-64","white","some college","WA","P","W","liberal","democrat","democrat",13,0,0,0.5875
"male","30-44","white","college graduate","NY","MA","NE","conservative","independent/other","did not vote in 2008",0,4,0,0.6358
"male","30-44","black","some college","CA","P","W","conservative","republican","republican",0,6,0,0.6228
"male","18-29","white","high school graduate","FL","SA","S","moderate","republican","did not vote in 2008",1,17,0,0.5142
"male","18-29","white","less than high school","CA","P","W","moderate","republican","did not vote in 2008",1,8,0,0.6228
"male","18-29","white","high school graduate","NE","WNC","MW","conservative","republican","republican",0,7,0,0.4239
"male","18-29","white","some college","TN","ESC","S","liberal","democrat","did not vote in 2008",12,0,0,0.4237
"male","18-29","white","high school graduate","WI","ENC","MW","conservative","republican","did not vote in 2008",0,29,0,0.5706
"female","45-64","white","some college","CA","P","W","moderate","democrat","democrat",4,0,0,0.6228
"female","18-29","white","high school graduate","AZ","M","W","moderate","democrat","did not vote in 2008",2,0,0,0.4569
"male","18-29","white","some college","NY","MA","NE","moderate","independent/other","did not vote in 2008",24,4,11,0.6358
"male","30-44","white","college graduate","UT","M","W","moderate","republican","republican",0,2,0,0.3547
"male","30-44","white","college graduate","UT","M","W","conservative","republican","republican",1,50,0,0.3547
"male","18-29","black","high school graduate","PA","MA","NE","moderate","democrat","democrat",11,0,0,0.5523
"male","30-44","white","some college","UT","M","W","conservative","republican","other",0,8,0,0.3547
"male","18-29","white","some college","NY","MA","NE","conservative","republican","republican",0,39,1,0.6358
"male","18-29","white","high school graduate","MO","WNC","MW","conservative","republican","did not vote in 2008",0,22,0,0.4993
"female","18-29","white","some college","WA","P","W","moderate","independent/other","did not vote in 2008",1,4,1,0.5875
"male","18-29","white","some college","OH","ENC","MW","liberal","democrat","democrat",51,0,1,0.5233
"female","30-44","hispanic","some college","IL","ENC","MW","moderate","democrat","democrat",1,0,0,0.6273
"male","18-29","hispanic","some college","CA","P","W","liberal","democrat","democrat",37,0,1,0.6228
"male","18-29","hispanic","some college","NV","M","W","liberal","democrat","democrat",4,0,1,0.5639
"male","18-29","white","some college","CA","P","W","conservative","independent/other","did not vote in 2008",2,15,8,0.6228
"male","18-29","white","high school graduate","TN","ESC","S","moderate","republican","republican",0,9,0,0.4237
"male","30-44","black","some college","IA","WNC","MW","liberal","democrat","democrat",2,0,0,0.5485
"male","30-44","other","some college","KS","WNC","MW","moderate","independent/other","democrat",2,0,0,0.4239
"male","18-29","hispanic","less than high school","WA","P","W","conservative","republican","republican",0,4,0,0.5875
"male","18-29","white","high school graduate","CA","P","W","conservative","independent/other","did not vote in 2008",2,14,3,0.6228
"male","18-29","hispanic","some college","CA","P","W","moderate","democrat","democrat",28,0,0,0.6228
"male","18-29","white","college graduate","NY","MA","NE","conservative","republican","republican",3,69,1,0.6358
"female","18-29","hispanic","less than high school","LA","WSC","S","moderate","democrat","republican",0,1,0,0.4054
"male","18-29","white","high school graduate","FL","SA","S","conservative","republican","republican",0,47,0,0.5142
"male","18-29","hispanic","less than high school","CA","P","W","liberal","democrat","democrat",10,0,0,0.6228
"female","45-64","white","some college","CA","P","W","liberal","democrat","democrat",8,0,0,0.6228
"male","30-44","white","some college","MI","ENC","MW","liberal","democrat","democrat",26,0,0,0.5837
"male","45-64","other","college graduate","IL","ENC","MW","conservative","independent/other","did not vote in 2008",0,1,0,0.6273
"male","18-29","white","high school graduate","AL","ESC","S","liberal","republican","democrat",1,0,0,0.3911
"male","18-29","white","college graduate","CA","P","W","moderate","independent/other","did not vote in 2008",10,3,7,0.6228
"male","18-29","white","college graduate","CT","NE","NE","moderate","independent/other","democrat",8,1,0,0.6132
"male","30-44","white","some college","KS","WNC","MW","conservative","independent/other","republican",0,8,2,0.4239
"male","18-29","white","high school graduate","AL","ESC","S","conservative","republican","did not vote in 2008",0,17,0,0.3911
"male","18-29","hispanic","college graduate","CA","P","W","moderate","democrat","democrat",24,1,0,0.6228
"male","45-64","white","some college","WA","P","W","moderate","independent/other","democrat",4,7,0,0.5875
"male","30-44","white","some college","KS","WNC","MW","conservative","independent/other","other",0,1,1,0.4239
"male","45-64","other","some college","IL","ENC","MW","conservative","republican","republican",0,1,0,0.6273
"male","18-29","hispanic","high school graduate","CA","P","W","liberal","democrat","democrat",26,1,1,0.6228
"male","18-29","white","high school graduate","NY","MA","NE","conservative","republican","republican",1,36,0,0.6358
"male","30-44","white","college graduate","MA","NE","NE","liberal","democrat","democrat",21,0,1,0.632
"male","18-29","white","high school graduate","IL","ENC","MW","conservative","independent/other","did not vote in 2008",0,10,2,0.6273
"male","18-29","white","college graduate","NC","SA","S","liberal","independent/other","other",0,0,1,0.5017
"male","45-64","white","college graduate","AZ","M","W","moderate","republican","republican",0,1,0,0.4569
"male","18-29","other","college graduate","CA","P","W","conservative","republican","republican",0,12,0,0.6228
"male","18-29","white","some college","IL","ENC","MW","conservative","republican","republican",0,45,1,0.6273
"male","18-29","white","some college","FL","SA","S","conservative","republican","republican",0,76,0,0.5142
"male","18-29","other","high school graduate","KS","WNC","MW","liberal","democrat","did not vote in 2008",2,0,0,0.4239
"male","18-29","white","some college","KY","ESC","S","liberal","democrat","democrat",26,0,0,0.4177
"male","45-64","black","high school graduate","MI","ENC","MW","moderate","democrat","democrat",2,0,0,0.5837
"male","18-29","white","high school graduate","IN","ENC","MW","liberal","democrat","democrat",13,0,1,0.5052
"male","18-29","hispanic","college graduate","CA","P","W","liberal","democrat","democrat",27,1,0,0.6228
"male","18-29","white","some college","TX","WSC","S","moderate","independent/other","democrat",18,3,2,0.4406
"male","30-44","white","high school graduate","CT","NE","NE","moderate","independent/other","democrat",10,0,2,0.6132
"male","30-44","white","college graduate","MA","NE","NE","moderate","republican","republican",0,9,0,0.632
"male","18-29","white","some college","CO","M","W","moderate","independent/other","democrat",25,1,3,0.5455
"male","18-29","white","some college","NJ","MA","NE","conservative","republican","republican",0,18,0,0.5786
"male","18-29","hispanic","some college","MA","NE","NE","moderate","democrat","democrat",6,0,0,0.632
"male","18-29","white","high school graduate","NC","SA","S","conservative","republican","did not vote in 2008",0,42,0,0.5017
"male","30-44","black","college graduate","CA","P","W","moderate","independent/other","democrat",4,0,0,0.6228
"male","30-44","white","college graduate","AZ","M","W","conservative","republican","republican",0,33,0,0.4569
"male","18-29","white","high school graduate","OH","ENC","MW","moderate","independent/other","democrat",25,4,0,0.5233
"male","30-44","black","some college","OR","P","W","liberal","democrat","democrat",3,0,0,0.5841
"male","18-29","white","high school graduate","MN","WNC","MW","moderate","independent/other","did not vote in 2008",11,2,3,0.5523
"male","18-29","white","some college","AL","ESC","S","liberal","democrat","democrat",4,0,0,0.3911
"male","45-64","other","some college","AK","P","W","conservative","independent/other","republican",0,4,0,0.3894
"female","45-64","white","some college","TX","WSC","S","conservative","republican","republican",0,4,0,0.4406
"male","30-44","black","some college","OH","ENC","MW","moderate","democrat","democrat",14,0,0,0.5233
"male","45-64","other","college graduate","LA","WSC","S","conservative","independent/other","republican",0,1,0,0.4054
"male","30-44","white","some college","MO","WNC","MW","conservative","independent/other","republican",0,15,2,0.4993
"male","18-29","white","college graduate","NY","MA","NE","liberal","democrat","democrat",57,0,0,0.6358
"male","18-29","white","some college","SC","SA","S","moderate","independent/other","did not vote in 2008",5,4,3,0.4546
"male","30-44","white","high school graduate","ND","WNC","MW","conservative","republican","republican",0,3,0,0.4557
"male","18-29","white","some college","VA","SA","S","liberal","democrat","democrat",33,1,0,0.5318
"male","45-64","white","some college","MN","WNC","MW","liberal","democrat","democrat",1,0,0,0.5523
"male","18-29","other","some college","NM","M","W","conservative","republican","republican",0,4,0,0.5766
"male","18-29","black","high school graduate","CA","P","W","moderate","independent/other","democrat",2,0,0,0.6228
"male","18-29","black","college graduate","AL","ESC","S","liberal","democrat","democrat",9,0,0,0.3911
"male","18-29","white","some college","AZ","M","W","moderate","independent/other","republican",5,5,2,0.4569
"male","18-29","other","college graduate","CA","P","W","conservative","independent/other","republican",0,3,0,0.6228
"male","45-64","white","college graduate","IA","WNC","MW","moderate","republican","republican",0,5,0,0.5485
"male","18-29","white","some college","CA","P","W","conservative","independent/other","republican",0,24,4,0.6228
"male","18-29","white","some college","CO","M","W","liberal","democrat","did not vote in 2008",15,0,0,0.5455
"male","18-29","hispanic","some college","CA","P","W","moderate","republican","republican",1,6,0,0.6228
"male","30-44","white","some college","CA","P","W","liberal","democrat","democrat",43,1,0,0.6228
"male","18-29","white","high school graduate","CA","P","W","conservative","republican","did not vote in 2008",1,76,0,0.6228
"male","18-29","white","some college","SC","SA","S","conservative","independent/other","democrat",0,1,2,0.4546
"male","18-29","white","some college","VA","SA","S","conservative","republican","did not vote in 2008",0,18,0,0.5318
"male","30-44","white","some college","OR","P","W","conservative","republican","republican",1,17,0,0.5841
"male","30-44","white","college graduate","TN","ESC","S","moderate","independent/other","other",0,6,2,0.4237
"female","30-44","white","some college","TN","ESC","S","moderate","independent/other","republican",1,1,0,0.4237
"male","18-29","black","high school graduate","WA","P","W","liberal","democrat","democrat",2,0,0,0.5875
"male","18-29","white","some college","SD","WNC","MW","conservative","republican","did not vote in 2008",0,2,0,0.457
"male","18-29","white","less than high school","WA","P","W","moderate","independent/other","did not vote in 2008",5,6,3,0.5875
"male","18-29","white","some college","CO","M","W","conservative","republican","did not vote in 2008",0,15,5,0.5455
"male","18-29","other","some college","CA","P","W","liberal","democrat","democrat",12,0,0,0.6228
"male","18-29","white","some college","MO","WNC","MW","moderate","independent/other","did not vote in 2008",13,4,3,0.4993
